URI,dcdtr:elementName,skos:prefLabel,dct:description,dcdtr:meaning,dcdtr:containerObject,dcdtr:dataType,dcdtr:valueDomain,dcdtr:unitOfMeasure,source
class/attribute/minename,MineName,Mine Name,,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/mineoropeningtype,MineOrOpeningType,Mine Or Opening Type,"Type of mine identified by the FeatureURI, at the time indicated in the StatusDate element. Vocabulary should be drawn from a standard list. This field is intended to specify mine type according to data providers conventions.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/mineralowner,MineralOwner,Mineral Owner,"Companies, individuals, or other entities who own the mineral rights. Separate multiple with a pipe  |  character.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/minestartdate,MineStartDate,Mine Start Date,"Date on which development commenced for the mine identified by the FeatureURI.  Use format YYYY-MM-DDThhr:mm. If date is unknown, provide best guess and so note in the -Notes- field. This is intended as a searching aid. ",,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/minevolume-m3,MineVolume_m3,Mine Volume m3,Report gross volume of mine here. Report in cubic meters (m3). Gross volume is the entire mine volume with and without (voids) groundwater. ,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/minhf-kjyr,MinHF_kJyr,Minimum Heat Flux kJ/yr,Minimum Heat Flux (heat energy transferred by conduction and convection) using Method 1 Kilojoules per year (kJ/y).,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/minimummonthlywaterproduction-bbl,MinimumMonthlyWaterProduction_bbl,Minimum Monthly Water Production bbl,Minimum monthly water production from a well in the field.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/minminerechargegrndwtrvol1-m3yr,MinMIneRechargeGrndwtrVol1_m3yr,Min Mine Recharge GrndwtrVol1 m3yr,"Report estimated minimum volume of recharge of mine void space here, reported in cubic meters per year (m3/yr) using Method 1.  (See Notes tab). ",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/minminerechargevol2-m3yr,MinMineRechargeVol2_m3yr,Min Mine Recharge Vol2 m3yr,"Report estimated minimum recharge volume of mine void space here, using Method 2.  (See Notes tab). Use m3. ",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/minminewtrvel1-myr,MinMineWtrVel1_myr,Min Mine WtrVel1 myr,Minimum estimated mine water velocity in meters/year. (see Linear Groundwater Velocity on Notes tab) ,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/minminewtrvel2-myr,MinMineWtrVel2_myr,Min Mine WtrVel2 myr,Minimum estimated linear velocity of mine water in meters/year. (Linear Groundwater Velocity on Notes tab) ,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/minrechargearea-km2,MinRechargeArea_km2,Min Recharge Area km2,Report estimated minimum area to recharge mine void space here. Report all areas in decimal units of sqare kilometers.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/minresidencetime1-yr,MinResidenceTime1_yr,Min Residence Time 1 year,Report estimated minimum Residence time (Method 1) of recharge water in mine void space here. Use decimal year units. The residence time calculation illustrates the rate in which water is being circulated through the mine. ,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/minresidencetime2-yr,MinResidenceTime2_yr,Min Residence Time 2 year,Report estimated minimum Residence time (Method 2) of recharge water in mine void space here. Use decimal year units. The residence time calculation illustrates the rate in which water is being circulated through the mine. ,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/monthlyproduction-bbl,MonthlyProduction_bbl,Monthly Production bbl,Used to estimate current pressure and most recent production history across the field.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/movementsense,MovementSense,Movement Sense,"Terms to specify the relative direction of movement of bodies of rock across a  ShearDisplacementStructure. Examples include -sinistral-, -dextral-, -normal-, -reverse-. ",,,def/primitive-type/string,,,
class/attribute/movementtype,MovementType,Movement Type,"Use extension of CGI Fault movement type vocabulary. Terms used to define the type of movement (eg dip-slip, strike-slip) for a DisplacementValue on a ShearDisplacementStructure.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/name,Name,Name,Common or human-readable name by which the feature is known. Recommend using only web-safe characters (a-z A-Z 0-9 _-.) in the name. Be consistent in the naming convention used within any given dataset.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/netproductioncapacity-mw,NetProductionCapacity_MW,Net Production Capacity MW,"Total energy production possible less other production variables, reported in MW units.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/netproductionmwhr,NetProductionMWhr,Net Production MWhr,Reported net production (minus any parasitic loads) from the power plant for the reporting period in MWhr.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/notes,Notes,Notes,"Any additional information to be provided, including description and other data not captured by the template, details about collection method, contact information for related parties (original collector, project PI), collection platform or Launch, etc.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/numberinjectionwells,NumberInjectionWells,Number Injection Wells,The total number of the injection wells for all facilities within the given geothermal area.,,,def/primitive-type/real-number,,,
class/attribute/numberoftrenches,NumberOfTrenches,Number Of Trenches,The number of trenches that are part of the system identified by the FacilityURI.,,,def/primitive-type/real-number,,,
class/attribute/numberofwells,NumberOfWells,Number Of Wells,Enter the number of wells for the completed system.,,,def/primitive-type/real-number,,,
class/attribute/numberoperatingplants,NumberOperatingPlants,Number Operating Plants,Number of operating plants in the defined geothermal area.,,,def/primitive-type/real-number,,,
class/attribute/numberproductionwells,NumberProductionWells,Number Production Wells,The total number of production wells for all facilities within the given geothermal area.,,,def/primitive-type/real-number,,,
class/attribute/objectid,OBJECTID,OBJECTID,"Integer record count, added by ArcGIS servers during service deployment; not required but cannot be removed when deploying from ArcGIS feature class. Not user maintained, so this element appears in XML implementation but not in the Content Model Template.",,,def/primitive-type/long-integer,class/value-domain/positive-integer,,
class/attribute/observationdate,ObservationDate,Observation Date,"Date for the record: date on which observation, measurement or test was made or specimen was collected. Day, month and year must be specified;  All dates will be converted to yyyy-mm-ddThh:mm",,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/observationlabel,ObservationLabel,Observation Label,"Short text string for labeling the feature on maps. Can be the same as feature name. A label may be an OtherLocationName, OtherID or the Name or some combination.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/observationmethod,ObservationMethod,Observation Method,"Text description of how the measurement was made - instrumentation, logging rate, correction or extrapolation process, how time since circulation was determined, etc. Data provider should indicate QA/QC performed on the data, including individual or institution, time frame and depth of quality check. ObservationMethod is a convenience property that provides a quick and dirty approach to observation metadata when data are reported using a feature view (as opposed to observation view). Recommend use of one of the CGI vocabulary terms from the FeatureObservationMethod or MappedFeatureObservationMethod in this workbook.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/observationname,ObservationName,Observation Name,Common or human-readable name by which the observation is known. Recommend using only web-safe characters (a-z A-Z 0-9 _-.) in the name. Be consistent in the naming convention used within any given dataset.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/observationuri,ObservationURI,Observation URI,"Unique identifier for this observation. This is the identifier (Uniform Resource Identifier) that will be used to cross-reference data, samples, and other observations to the feature observation represented by this record. Best practice is to define an http URI that will dereference to a normative description of the observation. USGIN URIs may be redirected to any URL using the http://resources.usgin.org redirector; contact the USGIN development team at AZGS for instructions.  ",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/observedgravity-mgal,ObservedGravity_mgal,Observed Gravity mgal,Value of acceleration of gravity as measured using the instrument and procedure described in the Procedure element.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/observednumericvalue,ObservedNumericValue,Observed Numeric Value,An observed numeric value. Data type is a real number.,,class/data-object/measured-value,def/primitive-type/real-number,,,
class/attribute/observednumericvaluemaximum,ObservedNumericValueMaximum,"Observed Numeric Value, maximum","The maximum value for a range of observed or expected values, expressed as a real number",,class/data-object/measured-value,def/primitive-type/real-number,,,
class/attribute/observednumericvalueminimum,ObservedNumericValueMinimum,"Observed Numeric Value, minimum ","The minimum value for a range of observed or expected values, expressed as a real number",,class/data-object/measured-value,def/primitive-type/real-number,,,
class/attribute/observedpropertyname,ObservedPropertyName,Observed Property Name,the name of a property that an observation result quantifies; used for generic observation data objects,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/observer,Observer,Observer,Name of the individual who made the observation.,,,def/primitive-type/string,,,
class/attribute/olderageuri,OlderAgeURI,Older Age URI,Unique identifier for older age term for feature.,,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/oldestage,OldestAge,Oldest Age,"Oldest geologic age for material erupted from vent, e.g. Recent, Pleistocene, Miocene.",,,def/primitive-type/string,,,
class/attribute/oldestradiometricage-ma,OldestRadiometricAge_Ma,Oldest Radiometric Age Ma,Numerical value for the maximum radiometric age for material erupted from the vent expressed in Ma (million years); ex: 4.2.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,def/units-of-measure/millions-of-years,
class/attribute/operationaldate,OperationalDate,Operational Date,"Date for the record (year in which the first power plant at the site began operation). Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/operator,Operator,Operator,"Companies, individuals, or other entities who operate the property. Separate multiple with a pipe  |  character.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/origindatetime,OriginDateTime,Origin datetime,"Date for the record (date on which event occurred). Day, month and year must be specified;  Six integers followed by the fraction of a second reported with an appropriate number of significant figures to convey the quality of the origin time.",,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/otheranalysisid,OtherAnalysisID,Other Analysis ID,"Alternative identifier(s) for this analysis. Indicate the authority from which the OtherID is derived with a short (lower case) prefix delimited by a colon  :  If identifiers from multiple different authorities are available, delimit these identifiers with the pipe  |  character. For example, if a well were known to the Arizona Geological Survey (AZGS) by the id number 1337, the prefix would be azgs: and the identifier string would be azgs:1337. Any such prefixes used to scope identifiers should be explained in the dataset metadata.",,,def/primitive-type/string,,,
class/attribute/otheranalyticaldata,OtherAnalyticalData,Other Analytical Data,Text describing other analytical data associated with the analyzed specimen. Best practice: include a URI for observation records reporting related results.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/otherdistribution,OtherDistribution,Other Distribution,Other distributions of the well log.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/otherfeatureid,OtherFeatureID,Other Feature ID,"Alternative identifier(s) for the feature. Indicate the authority from which the OtherID is derived with a short (lower case) prefix delimited by a colon  :  If identifiers from multiple different authorities are available, delimit these identifiers with the pipe  |  character. For example, if a well were known to the Arizona Geological Survey (AZGS) by the id number 1337, the prefix would be azgs: and the identifier string would be azgs:1337. Any such prefixes used to scope identifiers should be explained in the dataset metadata.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/otherformationname,OtherFormationName,Other Formation Name,Other named geologic units that are of interest to the study; separate names with pipe ( | ) character.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/otherid,OtherID,Other ID,"Alternative identifier(s) for the feature. Indicate the authority from which the OtherID is derived with a short (lower case) prefix delimited by a colon  :  If identifiers from multiple different authorities are available, delimit these identifiers with the pipe  |  character. For example, if a well were known to the Arizona Geological Survey (AZGS) by the id number 1337, the prefix would be azgs: and the identifier string would be azgs:1337. Any such prefixes used to scope identifiers should be explained in the dataset metadata.",,,def/primitive-type/string,literal,,
class/attribute/otheridentifier,OtherIdentifier,Other Identifier,"Alternative identifier(s) for the feature. Indicate the authority from which the OtherID is derived with a short (lower case) prefix delimited by a colon  :  If identifiers from multiple different authorities are available, delimit these identifiers with the pipe  |  character. For example, if a well were known to the Arizona Geological Survey (AZGS) by the id number 1337, the prefix would be azgs: and the identifier string would be azgs:1337. Any such prefixes used to scope identifiers should be explained in the dataset metadata.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/otherlithologyname,OtherLithologyName,Other Lithology Name,Other rock types that are constituents of the reservoir; separate names with pipe ( | ) character.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/otherlocationinformation,OtherLocationInformation,Other Location Information,"Names of geographic features associated with the site that will be useful as search criteria to locate the information for this site. If identifiers from multiple different authorities are available, delimit these identifiers with the pipe character  | .",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/otherlocationname,OtherLocationName,Other Location Name,"Names of geographic features associated with the site that will be useful as search criteria to locate the information for this site. If identifiers from multiple different authorities are available, delimit these identifiers with the pipe character  | .",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/otherlogid,OtherLogID,Other Log ID,"Other identifier for the log, e.g. AmStrat log number. Indicate the authority from which the OtherID is derived with a short (lower case) prefix delimited by a colon  :  For example, if a well were known to the Arizona Geological Survey (AZGS) by the id number 1337, the prefix would be azgs: and the identifier string would be azgs:1337. Any such prefixes used to scope identifiers should be explained in the dataset metadata. If identifiers from multiple different authorities are available, delimit these identifiers with the pipe  |  character.",,,def/primitive-type/string,literal,,
class/attribute/othername,OtherName,Other Name,"Other human-intelligible labels for feature such as secondary name or common name, other spellings. Indicate the authority from which the OtherName is derived with a short (lower case) prefix delimited by a colon  :  If identifiers from multiple different authorities are available, delimit these identifiers with the pipe character  | . For example, if a well were known to the Arizona Geological Survey (AZGS) by the id number 1337, the identifier string would be azgs:1337. Any such prefixes used to scope identifiers should be explained in the dataset metadata.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/othersiteid,OtherSiteID,Other Site ID,"Alternative identifier(s) or more geographic names associated with the feature. Indicate the authority from which the OtherID is derived with a short (lower case) prefix delimited by a colon  :  If identifiers from multiple different authorities are available, delimit these identifiers with the pipe  |  character. For example, if a well were known to the Arizona Geological Survey (AZGS) by the id number 1337, the prefix would be azgs: and the identifier string would be azgs:1337. Any such prefixes used to scope identifiers should be explained in the dataset metadata.",,,def/primitive-type/string,literal,,
class/attribute/otherspecimenid,OtherSpecimenID,Other Specimen ID,"Alternative identifier(s) for the feature. Indicate the authority from which the OtherID is derived with a short (lower case) prefix delimited by a colon  :  If identifiers from multiple different authorities are available, delimit these identifiers with the pipe character  | . For example, if a well were known to the Arizona Geological Survey (AZGS) by the id number 1337, the identifier string would be azgs:1337. Any such prefixes used to scope identifiers should be explained in the dataset metadata.",,,,,,
class/attribute/overburdenthickness-m,OverburdenThickness_m,Overburden Thickness m,"If SampleType is surface in situ measurement, provide thickness of soil overburden at collection. Convert units to meters.",,,def/primitive-type/real-number,class/value-domain/length-meters,def/units-of-measure/meter,
class/attribute/owner,Owner,Owner,"Companies, individuals, or other entities who own the property. Separate multiple with a pipe  |  character.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/owners,Owners,Owners,"Companies, individuals, or other entities who own the property. Separate multiple with a pipe  |  character.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/papercopylocation,PaperCopyLocation,Paper Copy Location,"Location where the hard copy of the well log is located if one is available. Multiple locations may be listed, delimited by  | .",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/parcel,Parcel,Parcel,"Legal parcel identifier, or block number, or other parcel or location identifier.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/parentfeatureuri,ParentFeatureURI,Parent Feature URI,Identifier for a larger shear displacement structure which the named feature is a part of.,,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/parentsampleuri,ParentSampleURI,Parent Sample URI,"Identifier for a sample from which this specimen was sub-sampled; e.g. if a piece from a registered core is registered as a separate sample, this would be the identifier for the core.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/parentspecimenuri,ParentSpecimenURI,Parent Specimen URI,"identifer for a specimen from which this specimen was sub-sampled. E.g. if a piece from a registered core is registered as a separate sample, this would be the identifier for the core.",,,def/primitive-type/string,class/value-domain/http-uri,,
class/attribute/parentwelluri,ParentWellURI,Parent Well URI,"The unique identifier for the well that contains the wellbore identified by WellBoreURI.   If the WellBoreURI identifies one of several wellbores within a well, this element is mandatory. Best practice is to define an http URI that will dereference to a normative description of the well. ",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/percenttargetrock,PercentTargetRock,Percent Target Rock,"Target Rock (Sand, shale, etc.) volume divided by block volume. ",,,def/primitive-type/real-number,class/value-domain/percent-of-whole,,
class/attribute/permeabilityair-md,PermeabilityAir_mD,"Permeability, air mD",A permeability value measured using air as the transport fluid.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,def/units-of-measure/millidarcy,
class/attribute/permeabilityaverage-m2,PermeabilityAverage_m2,Permeability Average m2,"The Average Permeability available from public data sources.  The method for calculating an average should be stated in PermeabilityAverageMethod.   Where only one permeability value is obtained from public data sources, the minimum, maximum, and average will be identical.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/permeabilityaveragemethod,PermeabilityAverageMethod,Permeability Average Method,The method for calculating PermeabilityAverage_m2 is stated here.  Required if PermeabilityAverage_m2 is provided.  Also provide units and explanation for calculating PermeabilityAverageUncertainty.,,,def/primitive-type/string,,,
class/attribute/permeabilityaverageuncertainty,PermeabilityAverageUncertainty,Permeability Average Uncertainty,An expression of the confidence in the  PermeabilityAverage_m2 value.  Best practice to include units and assumptions for calculating uncertainty within PermeabilityAverageMethod.  ,,,def/primitive-type/string,,,
class/attribute/permeabilitycommonlyobserved-md,PermeabilityCommonlyObserved_mD,"Permeability, Commonly observed mD","A permeability value assigned that is intended to represent a typical value, but method to support this assertion is not specified; does not denote whether is intrinsic/absolute or relative.  Typical assumption would be that permeability was measured using water.",,,,,def/units-of-measure/millidarcy,
class/attribute/permeabilitygeometricmean-md,PermeabilityGeometricMean_mD,"Permeability, Geometric mean  mD",A permeability value assigned that is the geometric mean of a group of measurements on the same or related material; does not denote whether is intrinsic/absolute or relative.  Typical assumption would be that permeability was measured using water.,,,,,def/units-of-measure/millidarcy,
class/attribute/permeabilityintrinsic-md,PermeabilityIntrinsic_mD,"Permeability, Intrinsic mD","Intrinsic permeability is permeability calculated an intensive property (not a spatial average of a heterogeneous block of material), i.e. a function of the material structure only (and not of the fluid) ",,,,,def/units-of-measure/millidarcy,
class/attribute/permeabilitylocal-md,PermeabilityLocal_mD,"Permeability, Local mD",,,,,,def/units-of-measure/millidarcy,
class/attribute/permeabilitymax-m2,PermeabilityMax_m2,Permeability Max m2,Maximum permeability based on Literature values for the field or calculated permeability using production tests. Units square meters (m2).,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/permeability-md,Permeability_md,Permeability md,"Permeability is the property of rocks that is an indication of the ability for fluids (gas or liquid) to flow through rocks; The SI unit for permeability is m2. A practical unit for permeability is the darcy (d), or more commonly the millidarcy (md) (1 darcy \approx10?12m2).",,,,,def/units-of-measure/millidarcy,
class/attribute/permeabilitymeanintrinsic-md,PermeabilityMeanIntrinsic_mD,"Permeability, Mean intrinsic mD","Intrinsic permeability value assigned based on averaging a group of measurements on the same or related material. Intrinsic permeability is permeability that is an intensive property (not a spatial average of a heterogeneous block of material), i.e. a function of the material structure only (and not of the fluid) ",,,,,def/units-of-measure/millidarcy,
class/attribute/permeabilitymean-md,PermeabilityMean_mD,"Permeability, mean mD",A permeability value assigned based on averaging a group of measurements on the same or related material; does not denote whether is intrinsic/absolute or relative.  Typical assumption would be that permeability was measured using water.,,,,,def/units-of-measure/millidarcy,
class/attribute/permeabilitymedian-md,PermeabilityMedian_mD,"Permeability, median mD",A permeability value assigned that is the median value of a group of measurements on the same or related material; does not denote whether is intrinsic/absolute or relative.  Typical assumption would be that permeability was measured using water.,,,,,def/units-of-measure/millidarcy,
class/attribute/permeabilitymedianporescale-md,PermeabilityMedianPorescale_mD,"Permeability, median pore-scale mD",,,,,,def/units-of-measure/millidarcy,
class/attribute/permeabilitymin-m2,PermeabilityMin_m2,Permeability Min m2,Minimum permeability based on Literature values for the field or calculated permeability using production tests. Units square meters (m2).,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/permeabilityporescale-md,PermeabilityPorescale_mD,"Permeability, pore-scale mD",,,,,,def/units-of-measure/millidarcy,
class/attribute/permit,Permit,Permit,"Permit(s) assigned to the facility; if identifiers from multiple different authorities are available, delimit these identifiers with the pipe  |  character. Provide sufficient information to uniquely identify the permit.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/ph,pH,pH,"Report the pH of the drilling fluid (no units) in standard pH format. 
",,,def/primitive-type/real-number,,,
class/attribute/phone,Phone,Phone,designation of a telephone network endpoint,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/pipediameter-in,PipeDiameter_in,Pipe Diameter in,"Diameter of the pipe, in decimal inches, used to convey the fluid within the system.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/pipematerial,PipeMaterial,Pipe Material,Material of the pipe used to convey the fluids.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/pipetotallength-ft,PipeTotalLength_ft,Pipe Total Length ft,Total length of the pipe in the system in decimal feet.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/plantname,PlantName,Plant Name,Common or human-readable name by which a resource  is known to its user community.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/plantproductionstatlabel,PlantProductionStatLabel,Plant Production Stat Label,"Short text string for labeling the feature on maps. Can be the same as feature name. A label may be an OtherLocationName, OtherID or the Name or some combination.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/plantproductionstaturi,PlantProductionStatURI,Plant Production Stat URI,"Unique identifier for this observation. This is the identifier (Uniform Resource Identifier) that will be used to cross-reference data, samples, and other observations to the observation represented by this record. Best practice is to define an http URI that will dereference to a normative description of the observation. USGIN URIs may be redirected to any URL using the http://resources.usgin.org redirector; contact the USGIN development team at AZGS for instructions.  ",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/planttype,PlantType,Plant Type,Category that specifies the power generation approach used by a power generation facility.,,,def/primitive-type/term,,,
class/attribute/plsslocation,PLSSlocation,PLSS Location,"Location specified using US Cadatastral grid, with township, range, meridians, section, section part as one string. Various implementations may specify specific syntax.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/plss-meridians,PLSS_Meridians,PLSS Meridians,List north-south baseline and east-west meridian that Townships and Ranges are referenced to.,,class/data-object/us-cadastral-location,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/plssrange,PLSSRange,PLSS Range,"Range in PLSS grid, relative to reported meridian. Formatting and punctuation should be consistent for all locations referenced to the same baseline meridian. See instructions on TWP field.",,class/data-object/us-cadastral-location,def/primitive-type/string,class/value-domain/integer-and-half-integer,,
class/attribute/plsssectionnumber,PLSSsectionnumber,PLSS section number,"PLSS section number. Must be numeric or null. Some surveys include half sections indicated by a -nn.5- designation, where n indicates a number.",,class/data-object/us-cadastral-location,def/primitive-type/string,class/value-domain/valid-plss-section-number,,
class/attribute/plsssectionpart,PLSSSectionPart,PLSS Section Part,Subdivision of a PLSS section.,,class/data-object/us-cadastral-location,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/plsstownship,PLSSTownship,PLSS Township,"Township in PLSS grid, relative to reported baseline. Formatting and punctuation should be consistent for all locations referenced to the same baseline and meridian. Recommend adding leading 0 so that all number strings are the same length (typically 2 or occasionally 3 digits). Examples 01N, 112S, 001 N.",,class/data-object/us-cadastral-location,def/primitive-type/string,class/value-domain/integer-and-half-integer,,
class/attribute/porosityaveragemethod,PorosityAverageMethod,Porosity Average Method,The method for calculating PorosityAverage_pct is stated here.  Required if PorosityAverage_pct is provided.  Also include units and explanation for PorosityAverageUncertainty value. ,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/porosityaverage-pct,PorosityAverage_pct,Porosity Average pct,"The Average Porosity available from public data sources.  The method for calculating an average should be stated in PorosityAverageMethod.   Where only one porosity value is obtained from public data sources, the minimum, maximum, and average will be identical.",,,def/primitive-type/real-number,class/value-domain/percent-of-whole,,
class/attribute/porosityaverageuncertainty,PorosityAverageUncertainty,Porosity Average Uncertainty,An expression of the confidence in the  PorosityAverage_pct value.  Best practice to include units and assumptions for calculating uncertainty within PorosityAverageMethod.  ,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/porositymax-pct,PorosityMax_pct,Porosity Max pct,Maximum porosity values obtained from public data sources.,,,def/primitive-type/real-number,class/value-domain/percent-of-whole,,
class/attribute/porositymean-pct,PorosityMean_pct,porosity mean pct,,,,,,,
class/attribute/porositymedian-pct,PorosityMedian_pct,porosity median pct,,,,,,,
class/attribute/porositymin-pct,PorosityMin_pct,Porosity Min pct,Minimum porosity values obtained from public data sources.,,,def/primitive-type/real-number,class/value-domain/percent-of-whole,,
class/attribute/porositypercent,PorosityPercent,porosity percent," a measure of the void (i.e. -empty-) spaces in a material, reported as a fraction of the volume of voids over the total volume, in percent, ",,,def/primitive-type/real-number,class/value-domain/percent-of-whole,,
class/attribute/positionaccuracy,PositionAccuracy,Position Accuracy,A qualitative estimate of the radius of the uncertainty envelope surrounding the mapped trace of the feature identified by the FeatureURI,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/positionaccuracymeters,PositionAccuracyMeters,Position Accuracy Meters,A numerical estimate of the radius of the uncertainty envelope surrounding the mapped trace of the feature identified by the FeatureURI (reported in Meters).,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/positionalaccuracy,positionalAccuracy,Positional Accuracy,"Information on how the original location was determined, e.g.: 1:250,000 map, gps unit, Google Earth, PLSS Conversion, Spatial Datum Conversion, e.g., NAD27 to WGS84.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/postaladdress,PostalAddress,Postal Address,designation of a physical mail delivery end point (maibox),,class/data-object/contact-information-description,def/primitive-type/string,,,
class/attribute/powerplantfacilityuri,PowerPlantFacilityURI,Power Plant Facility URI,"Unique identifier that specifies the feature represented: e.g. a geologic feature, aquifer or facility structure. Ideally, the identifier is an http URI that will dereference to a known, useful representation of the feature. This identifier will be used to cross reference the feature to other information related to this feature.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/powerpurchasers,PowerPurchasers,Power Purchasers,List of those who purchase power from the facilities in the given geothermal area. Separate multiple values with a pipe character  | .,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/preferredpressure,PreferredPressure,Preferred Pressure,Preferred pressure for formation to meet or exceed production goals.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/pressurefinalshutin,PressureFinalShutIn,Pressure Final Shut In,Pressure after the well has been completely shut in for a final period of time.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/pressureinitialshutin,PressureInitialShutIn,Pressure Initial Shut In,Initial formation pressure after the comparatively short shut-in period (commonly 5 to 10 minutes) following the initial flow period of a drill stem test.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/pressure-psi,Pressure_psi,Pressure psi,"Report the pressure of fluid; measurement method should specify wellhead, formation, or other pressure measurement; aggregationType reports whether this measurement is an average, peak, spot, etc. Nillable.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/proceduresummary,ProcedureSummary,Procedure Summary,"Text description of how the measurement was made - instrumentation, logging rate, correction or extrapolation process, how time since circulation was determined, etc. Data provider should indicate QA/QC performed on the data, including individual or institution, time frame and depth of quality check.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/producingfeature,ProducingFeature,Producing Feature,"Name of producing formation, named reservoir or pool, area, or field over which production is aggregated for this report. If a single well is reported, put -well- here, and headerURI must be populated.",,,def/primitive-type/string,class/value-domain/narrative-text,,
